country.name.en,continent,region
Afghanistan,Asia,South Asia
Albania,Europe,Europe & Central Asia
Algeria,Africa,Middle East & North Africa
American Samoa,Oceania,East Asia & Pacific
Andorra,Europe,Europe & Central Asia
Angola,Africa,Sub-Saharan Africa
Anguilla,Americas,Latin America & Caribbean
Antarctica,Antarctica,NA
Antigua & Barbuda,Americas,Latin America & Caribbean
Argentina,Americas,Latin America & Caribbean
Armenia,Asia,Europe & Central Asia
Aruba,Americas,Latin America & Caribbean
Australia,Oceania,East Asia & Pacific
Austria,Europe,Europe & Central Asia
Austria-Hungary,NA,Europe & Central Asia
Azerbaijan,Asia,Europe & Central Asia
Baden,NA,Europe & Central Asia
Bahamas,Americas,Latin America & Caribbean
Bahrain,Asia,Middle East & North Africa
Bangladesh,Asia,South Asia
Barbados,Americas,Latin America & Caribbean
Bavaria,NA,Europe & Central Asia
Belarus,Europe,Europe & Central Asia
Belgium,Europe,Europe & Central Asia
Belize,Americas,Latin America & Caribbean
Benin,Africa,Sub-Saharan Africa
Bermuda,Americas,North America
Bhutan,Asia,South Asia
Bolivia,Americas,Latin America & Caribbean
Bosnia & Herzegovina,Europe,Europe & Central Asia
Botswana,Africa,Sub-Saharan Africa
Bouvet Island,NA,NA
Brazil,Americas,Latin America & Caribbean
British Indian Ocean Territory,NA,NA
British Virgin Islands,Americas,Latin America & Caribbean
Brunei,Asia,East Asia & Pacific
Brunswick,NA,Europe & Central Asia
Bulgaria,Europe,Europe & Central Asia
Burkina Faso,Africa,Sub-Saharan Africa
Burundi,Africa,Sub-Saharan Africa
Cambodia,Asia,East Asia & Pacific
Cameroon,Africa,Sub-Saharan Africa
Canada,Americas,North America
Cape Verde,Africa,Sub-Saharan Africa
Caribbean Netherlands,Americas,Latin America & Caribbean
Cayman Islands,Americas,Latin America & Caribbean
Central African Republic,Africa,Sub-Saharan Africa
Chad,Africa,Sub-Saharan Africa
Channel Islands,NA,Europe & Central Asia
Chile,Americas,Latin America & Caribbean
China,Asia,East Asia & Pacific
Christmas Island,Oceania,East Asia & Pacific
Cocos (Keeling) Islands,NA,East Asia & Pacific
Colombia,Americas,Latin America & Caribbean
Comoros,Africa,Sub-Saharan Africa
Congo - Brazzaville,Africa,Sub-Saharan Africa
Congo - Kinshasa,Africa,Sub-Saharan Africa
Cook Islands,Oceania,East Asia & Pacific
Costa Rica,Americas,Latin America & Caribbean
Croatia,Europe,Europe & Central Asia
Cuba,Americas,Latin America & Caribbean
Curaçao,Americas,Latin America & Caribbean
Cyprus,Asia,Europe & Central Asia
Czechia,Europe,Europe & Central Asia
Czechoslovakia,NA,Europe & Central Asia
Côte d’Ivoire,Africa,Sub-Saharan Africa
Denmark,Europe,Europe & Central Asia
Djibouti,Africa,Middle East & North Africa
Dominica,Americas,Latin America & Caribbean
Dominican Republic,Americas,Latin America & Caribbean
Ecuador,Americas,Latin America & Caribbean
Egypt,Africa,Middle East & North Africa
El Salvador,Americas,Latin America & Caribbean
Equatorial Guinea,Africa,Sub-Saharan Africa
Eritrea,Africa,Sub-Saharan Africa
Estonia,Europe,Europe & Central Asia
Eswatini,Africa,Sub-Saharan Africa
Ethiopia,Africa,Sub-Saharan Africa
Falkland Islands,Americas,Latin America & Caribbean
Faroe Islands,Europe,Europe & Central Asia
Fiji,Oceania,East Asia & Pacific
Finland,Europe,Europe & Central Asia
France,Europe,Europe & Central Asia
French Guiana,Americas,Latin America & Caribbean
French Polynesia,Oceania,East Asia & Pacific
French Southern Territories,NA,NA
Gabon,Africa,Sub-Saharan Africa
Gambia,Africa,Sub-Saharan Africa
Georgia,Asia,Europe & Central Asia
German Democratic Republic,NA,Europe & Central Asia
Germany,Europe,Europe & Central Asia
Ghana,Africa,Sub-Saharan Africa
Gibraltar,Europe,Europe & Central Asia
Greece,Europe,Europe & Central Asia
Greenland,Americas,Europe & Central Asia
Grenada,Americas,Latin America & Caribbean
Guadeloupe,Americas,Latin America & Caribbean
Guam,Oceania,East Asia & Pacific
Guatemala,Americas,Latin America & Caribbean
Guernsey,Europe,Europe & Central Asia
Guinea,Africa,Sub-Saharan Africa
Guinea-Bissau,Africa,Sub-Saharan Africa
Guyana,Americas,Latin America & Caribbean
Haiti,Americas,Latin America & Caribbean
Hamburg,NA,Europe & Central Asia
Hanover,NA,Europe & Central Asia
Heard & McDonald Islands,NA,East Asia & Pacific
Hesse Electoral,NA,Europe & Central Asia
Hesse Grand Ducal,NA,Europe & Central Asia
Hesse-Darmstadt,NA,Europe & Central Asia
Hesse-Kassel,NA,Europe & Central Asia
Honduras,Americas,Latin America & Caribbean
Hong Kong SAR China,Asia,East Asia & Pacific
Hungary,Europe,Europe & Central Asia
Iceland,Europe,Europe & Central Asia
India,Asia,South Asia
Indonesia,Asia,East Asia & Pacific
Iran,Asia,Middle East & North Africa
Iraq,Asia,Middle East & North Africa
Ireland,Europe,Europe & Central Asia
Isle of Man,Europe,Europe & Central Asia
Israel,Asia,Middle East & North Africa
Italy,Europe,Europe & Central Asia
Jamaica,Americas,Latin America & Caribbean
Japan,Asia,East Asia & Pacific
Jersey,Europe,Europe & Central Asia
Jordan,Asia,Middle East & North Africa
Kazakhstan,Asia,Europe & Central Asia
Kenya,Africa,Sub-Saharan Africa
Kiribati,Oceania,East Asia & Pacific
Kosovo,NA,Europe & Central Asia
Kuwait,Asia,Middle East & North Africa
Kyrgyzstan,Asia,Europe & Central Asia
Laos,Asia,East Asia & Pacific
Latvia,Europe,Europe & Central Asia
Lebanon,Asia,Middle East & North Africa
Lesotho,Africa,Sub-Saharan Africa
Liberia,Africa,Sub-Saharan Africa
Libya,Africa,Middle East & North Africa
Liechtenstein,Europe,Europe & Central Asia
Lithuania,Europe,Europe & Central Asia
Luxembourg,Europe,Europe & Central Asia
Macao SAR China,Asia,East Asia & Pacific
Madagascar,Africa,Sub-Saharan Africa
Malawi,Africa,Sub-Saharan Africa
Malaysia,Asia,East Asia & Pacific
Maldives,Asia,South Asia
Mali,Africa,Sub-Saharan Africa
Malta,Europe,Middle East & North Africa
Marshall Islands,Oceania,East Asia & Pacific
Martinique,Americas,Latin America & Caribbean
Mauritania,Africa,Sub-Saharan Africa
Mauritius,Africa,Sub-Saharan Africa
Mayotte,Africa,NA
Mecklenburg Schwerin,NA,Europe & Central Asia
Mexico,Americas,Latin America & Caribbean
Micronesia (Federated States of),Oceania,East Asia & Pacific
Modena,NA,Europe & Central Asia
Moldova,Europe,Europe & Central Asia
Monaco,Europe,Europe & Central Asia
Mongolia,Asia,East Asia & Pacific
Montenegro,Europe,Europe & Central Asia
Montserrat,Americas,Latin America & Caribbean
Morocco,Africa,Middle East & North Africa
Mozambique,Africa,Sub-Saharan Africa
Myanmar (Burma),Asia,East Asia & Pacific
Namibia,Africa,Sub-Saharan Africa
Nassau,NA,Latin America & Caribbean
Nauru,Oceania,East Asia & Pacific
Nepal,Asia,South Asia
Netherlands,Europe,Europe & Central Asia
Netherlands Antilles,Americas,Latin America & Caribbean
New Caledonia,Oceania,East Asia & Pacific
New Zealand,Oceania,East Asia & Pacific
Nicaragua,Americas,Latin America & Caribbean
Niger,Africa,Sub-Saharan Africa
Nigeria,Africa,Sub-Saharan Africa
Niue,Oceania,East Asia & Pacific
Norfolk Island,Oceania,East Asia & Pacific
North Korea,Asia,East Asia & Pacific
North Macedonia,Europe,Europe & Central Asia
Northern Mariana Islands,Oceania,East Asia & Pacific
Norway,Europe,Europe & Central Asia
Oldenburg,NA,Europe & Central Asia
Oman,Asia,Middle East & North Africa
Orange Free State,NA,NA
Pakistan,Asia,South Asia
Palau,Oceania,East Asia & Pacific
Palestinian Territories,Asia,Middle East & North Africa
Panama,Americas,Latin America & Caribbean
Papua New Guinea,Oceania,East Asia & Pacific
Paraguay,Americas,Latin America & Caribbean
Parma,NA,Europe & Central Asia
Peru,Americas,Latin America & Caribbean
Philippines,Asia,East Asia & Pacific
Piedmont-Sardinia,NA,Europe & Central Asia
Pitcairn Islands,Oceania,East Asia & Pacific
Poland,Europe,Europe & Central Asia
Portugal,Europe,Europe & Central Asia
Prussia,NA,Europe & Central Asia
Puerto Rico,Americas,Latin America & Caribbean
Qatar,Asia,Middle East & North Africa
Republic of Vietnam,Asia,East Asia & Pacific
Romania,Europe,Europe & Central Asia
Russia,Europe,Europe & Central Asia
Rwanda,Africa,Sub-Saharan Africa
Réunion,Africa,NA
Saint Martin (French part),Americas,Latin America & Caribbean
Samoa,Oceania,East Asia & Pacific
San Marino,Europe,Europe & Central Asia
Sardinia,NA,Europe & Central Asia
Saudi Arabia,Asia,Middle East & North Africa
Saxe-Weimar-Eisenach,NA,Europe & Central Asia
Saxony,NA,Europe & Central Asia
Senegal,Africa,Sub-Saharan Africa
Serbia,Europe,Europe & Central Asia
Serbia and Montenegro,NA,Europe & Central Asia
Seychelles,Africa,Sub-Saharan Africa
Sierra Leone,Africa,Sub-Saharan Africa
Singapore,Asia,East Asia & Pacific
Sint Maarten,Americas,Latin America & Caribbean
Slovakia,Europe,Europe & Central Asia
Slovenia,Europe,Europe & Central Asia
Solomon Islands,Oceania,East Asia & Pacific
Somalia,Africa,Sub-Saharan Africa
Somaliland,Africa,Sub-Saharan Africa
South Africa,Africa,Sub-Saharan Africa
South Georgia & South Sandwich Islands,NA,East Asia & Pacific
South Korea,Asia,East Asia & Pacific
South Sudan,Africa,Sub-Saharan Africa
Spain,Europe,Europe & Central Asia
Sri Lanka,Asia,South Asia
St. Barthélemy,Americas,Latin America & Caribbean
St. Helena,Africa,NA
St. Kitts & Nevis,Americas,Latin America & Caribbean
St. Lucia,Americas,Latin America & Caribbean
St. Pierre & Miquelon,Americas,North America
St. Vincent & Grenadines,Americas,Latin America & Caribbean
Stateless,NA,NA
Sudan,Africa,Sub-Saharan Africa
Suriname,Americas,Latin America & Caribbean
Svalbard & Jan Mayen,Europe,NA
Sweden,Europe,Europe & Central Asia
Switzerland,Europe,Europe & Central Asia
Syria,Asia,Middle East & North Africa
São Tomé & Príncipe,Africa,Sub-Saharan Africa
Taiwan,Asia,East Asia & Pacific
Tajikistan,Asia,Europe & Central Asia
Tanzania,Africa,Sub-Saharan Africa
Thailand,Asia,East Asia & Pacific
Tibet,NA,NA
Timor-Leste,Asia,East Asia & Pacific
Togo,Africa,Sub-Saharan Africa
Tokelau,Oceania,East Asia & Pacific
Tonga,Oceania,East Asia & Pacific
Trinidad & Tobago,Americas,Latin America & Caribbean
Tunisia,Africa,Middle East & North Africa
Turkey,Asia,Europe & Central Asia
Turkmenistan,Asia,Europe & Central Asia
Turks & Caicos Islands,Americas,Latin America & Caribbean
Tuscany,NA,Europe & Central Asia
Tuvalu,Oceania,East Asia & Pacific
Two Sicilies,NA,Europe & Central Asia
U.S. Virgin Islands,Americas,Latin America & Caribbean
Uganda,Africa,Sub-Saharan Africa
Ukraine,Europe,Europe & Central Asia
United Arab Emirates,Asia,Middle East & North Africa
United Arab Republic,Asia,Middle East & North Africa
United Kingdom,Europe,Europe & Central Asia
United Province CA,NA,NA
United States,Americas,North America
United States Minor Outlying Islands (the),NA,NA
Unknown,NA,NA
Uruguay,Americas,Latin America & Caribbean
Uzbekistan,Asia,Europe & Central Asia
Vanuatu,Oceania,East Asia & Pacific
Vatican City,Europe,Europe & Central Asia
Venezuela,Americas,Latin America & Caribbean
Vietnam,Asia,East Asia & Pacific
Wallis & Futuna,Oceania,NA
Western Sahara,Africa,NA
Wuerttemburg,NA,Europe & Central Asia
Würtemberg,NA,Europe & Central Asia
Yemen,Asia,Middle East & North Africa
Yemen Arab Republic,NA,Middle East & North Africa
Yemen People's Republic,NA,Middle East & North Africa
Yugoslavia,NA,Europe & Central Asia
Zambia,Africa,Sub-Saharan Africa
Zanzibar,NA,Sub-Saharan Africa
Zimbabwe,Africa,Sub-Saharan Africa
Åland Islands,Europe,Europe & Central Asia
